Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
equalized odds,"A fairness metric to assess whether a model is predicting outcomes equally
well for all values of asensitive attributewith
respect to both thepositive classandnegative class—not just one class or the other
exclusively. In other words, both thetrue positive rateandfalse negative rateshould be the same for
all groups. Equalized odds is related toequality of opportunity, which only focuses
on error rates for a single class (positive or negative). For example, suppose Glubbdubdrib University admits both Lilliputians and
Brobdingnagians to a rigorous mathematics program. Lilliputians' secondary
schools offer a robust curriculum of math classes, and the vast majority of
students are qualified for the university program. Brobdingnagians' secondary
schools don't offer math classes at all, and as a result, far fewer of
their students are qualified. Equalized odds is satisfied provided that no
matter whether an applicant is a Lilliputian or a Brobdingnagian, if they
are qualified, they are equally as likely to get admitted to the program,
and if they are not qualified, they are equally as likely to get rejected. Suppose 100 Lilliputians and 100 Brobdingnagians apply to Glubbdubdrib
University, and admissions decisions are made as follows: Table 3.Lilliputian applicants (90% are qualified)  Table 4.Brobdingnagian applicants (10% are qualified): Equalized odds is satisfied because qualified Lilliputian and Brobdingnagian
students both have a 50% chance of being admitted, and unqualified Lilliputian
and Brobdingnagian have an 80% chance of being rejected. Equalized odds is formally defined in""Equality of
Opportunity in Supervised Learning""as follows:
""predictor Ŷ satisfies equalized odds with respect
to protected attribute A and outcome Y if Ŷ and A are independent,
conditional on Y.""",,"['attribute', 'class', 'condition', 'equality of opportunity', 'fairness metric', 'false negative rate', 'metric', 'model', 'negative class', 'positive class', 'sensitive attribute']",,false,"(equalized(\s|-)?odd|\s(\s|\.|\,))"
experience replay,"In reinforcement learning, a DQN technique used to
reduce temporal correlations in training data. The agent stores state transitions in areplay buffer, and then
samples transitions from the replay buffer to create training data.",,"['agent', 'replay buffer', 'state', 'training', 'Deep Q-Network']",,false,"(experience(\s|-)?replay|\s(\s|\.|\,))"
false negative (FN),"An example in which the model mistakenly predicts thenegative class. For example, the model
predicts that a particular email message isnot spam(the negative class), but that email messageactually is spam. ",,"['class', 'model', 'negative class']",,false,"(false(\s|-)?negative(\s|-)?|\s(\s|\.|\,))"
configuration,"The process of assigning the initial property values used to train a model,
including: In machine learning projects, configuration can be done through a special
configuration file or using configuration libraries ",,"['machine learning', 'model']",,false,"(configurat|\s(\s|\.|\,))"
false positive (FP),"An example in which the model mistakenly predicts thepositive class. For example, the model predicts
that a particular email message isspam(the positive class), but that
email message isactually not spam.",,"['class', 'model', 'positive class']",,false,"(false(\s|-)?positive(\s|-)?|\s(\s|\.|\,))"
false positive rate (FPR),"The proportion of actual negative examples for which the model mistakenly
predicted the positive class. The following formula calculates the false
positive rate: The false positive rate is the x-axis in anROC curve.",,"['class', 'model', 'positive class']",,false,"(false(\s|-)?positive(\s|-)?rate(\s|-)?|\s(\s|\.|\,))"
parameter update,"The operation of adjusting a model's parameters during
training, typically within a single iteration of gradient descent. ",,"['gradient', 'gradient descent', 'iteration', 'model', 'parameter', 'training']",,false,"(parameter(\s|-)?update|\s(\s|\.|\,))"
natural language understanding,"Determining a user's intentions based on what the user typed or said.
For example, a search engine uses natural language understanding to
determine what the user is searching for based on what the user typed or said.",,[],,false,"(natural(\s|-)?language(\s|-)?understand|\s(\s|\.|\,))"
loss function,"A mathematical function, used in training or testing, that calculates the
loss on a batch of examples. A loss function returns a lower loss
for models that makes good predictions than for models that make bad predictions. The goal of training is typically to minimize the loss that a loss function
returns. Many different kinds of loss functions exist depending on the model you're building.",,"['batch', 'loss', 'model', 'prediction', 'return', 'test', 'training']",,false,"(loss(\s|-)?funct|\s(\s|\.|\,))"
target,Synonym forlabel.,,"['label']",label,true,"(target|\slabel(\s|\.|\,))"
participation bias,Synonym for non-response bias. Seeselection bias. ,,"['non-response bias', 'selection bias']",non-response bias,true,"(participation(\s|-)?bia|\snon-response bias(\s|\.|\,))"
Q-function,"In Q-learning, the function that predicts the expected return (the 'reward') from taking an action in a state and then following a given policy. 
The core equation in the Q-function is the Bellman equation.",,"['action', 'policy', 'return', 'state', 'state-action value function']",,false,"(Q(\s|-)?funct|\sstate-action value function(\s|\.|\,))"
sentiment analysis,"Using statistical or machine learning algorithms to determine a group's
overall attitude—positive or negative—toward a service, product,
organization, or topic. For example, using natural language understanding,
an algorithm could perform sentiment analysis on the textual feedback
from a university course to determine the degree to which students
generally liked or disliked the course.",,"['machine learning', 'natural language understanding']",,false,"(sentiment(\s|-)?analysi|\s(\s|\.|\,))"
feature,"An input variable to a machine learning model. Anexampleconsists of one or more features. For instance, suppose you are training a
model to determine the influence of weather conditions on student test scores.
The following table shows three examples, each of which contains
three features and one label: Contrast withlabel.",,"['condition', 'instance', 'label', 'machine learning', 'model', 'test', 'training']",,false,"(feature|\sattribute(\s|\.|\,))"
generative AI,"An emerging transformative field with no formal definition.
That said, most experts agree that generative AI models can
create (""generate"") content that is all of the following: For example, a generative AI model can create sophisticated
essays or images. Some earlier technologies, includingLSTMsandRNNs, can also generate original and
coherent content. Some experts view these earlier technologies as
generative AI, while others feel that true generative AI requires more complex
output than those earlier technologies can produce. Contrast withpredictive ML. ",,"['model', 'predictive ML', 'Long Short-Term Memory', 'Tensor Processing Unit']",,false,"(generative(\s|-)?AI|\s(\s|\.|\,))"
sensitive attribute,,,[],,false,"(sensitive(\s|-)?attribute|\s(\s|\.|\,))"
sequence model,"A model whose inputs have a sequential dependence. For example, predicting
the next video watched from a sequence of previously watched videos.",,"['model', 'intersection over union']",,false,"(sequence(\s|-)?model|\s(\s|\.|\,))"
uplift modeling,"A modeling technique, commonly used in marketing, that models the
""causal effect"" (also known as the ""incremental impact"") of a
""treatment"" on an ""individual."" Here are two examples: Uplift modeling differs fromclassificationorregressionin that some labels (for example, half
of the labels in binary treatments) are always missing in uplift modeling.
For example, a patient can either receive or not receive a treatment;
therefore, we can only observe whether the patient is going to heal or
not heal in only one of these two situations (but never both).
The main advantage of an uplift model is that it can generate predictions
for the unobserved situation (the counterfactual) and use it to compute
the causal effect. ",,"['class', 'label', 'model', 'prediction']",,false,"(uplift(\s|-)?model|\s(\s|\.|\,))"
greedy policy,"In reinforcement learning, a policy that always chooses the
action with the highest expected return.",,"['action', 'policy', 'return']",,false,"(greedy(\s|-)?policy|\s(\s|\.|\,))"
